time_s,angle_rad,x_m,y_m,z_m,velocity_m_s,path_length_m,emf_V,current_A,power_W,cumulative_energy_J,ball_mass_kg
13.986,21.97098834224861,-0.09170150483880876,0.0018489741957152925,-0.10490374197849821,8.538511587518219,2.658178723599493,1.6448591317550116e-07,1.6448591317550117e-08,2.7055615633178506e-15,0.969725393061966,0.03288200310757317
13.988,21.974130196723408,-0.09169852861226302,0.0015607109357686365,-0.10491874322860237,8.539732595896242,2.6584673922719606,1.423108528957509e-07,1.423108528957509e-08,2.025237885191605e-15,0.969725393061966,0.03288200310757317
13.99,21.977272051198202,-0.09169464631621917,0.0012724846306035732,-0.10493374447870656,8.540953604274264,2.6587560348064496,1.2304093347663906e-07,1.2304093347663906e-08,1.513907131080272e-15,0.969725393061966,0.03288200310757317
13.992,21.980413905673,-0.09168985815351485,0.0009842981279124252,-0.10494874572881073,8.542174612652287,2.6590446512029695,1.0630740071953523e-07,1.0630740071953522e-08,1.130126344774384e-15,0.969725393061966,0.03288200310757317
13.994,21.983555760147794,-0.09168416433593696,0.0006961542744790274,-0.10496374697891492,8.54339562103031,2.659333241461528,9.178668190994985e-08,9.178668190994985e-09,8.424794976038315e-16,0.969725393061966,0.03288200310757317
13.996,21.98669761462259,-0.09167756508421777,0.0004080559161483226,-0.10497874822901908,8.544616629408333,2.6596218055821335,7.919506751133774e-08,7.919506751133775e-09,6.271858718125343e-16,0.969725393061966,0.03288200310757317
13.998000000000001,21.989839469097387,-0.09167006062803135,0.00012000589779923367,-0.10499374947912325,8.545837637786356,2.659910343564795,6.828399051196657e-08,6.828399051196657e-09,4.662703360238341e-16,0.969725393061966,0.03288200310757317
14.0,21.99298132357218,-0.0916616512059895,-0.00016799293668245236,-0.10500875072922744,8.547058646164379,2.66019885540952,5.883583986167987e-08,5.883583986167987e-09,3.461656052229238e-16,0.969725393061966,0.03288200310757317
14.002,21.99612317804698,-0.09165233706563784,-0.00045593774443444135,-0.10502375197933161,8.548279654542402,2.6604873411163177,5.066025075216689e-08,5.066025075216689e-09,2.566461006272426e-16,0.969725393061966,0.03288200310757317
14.004,21.999265032521773,-0.09164211846345174,-0.0007438256836433887,-0.10503875322943577,8.549500662920424,2.6607758006851956,4.3590820236775215e-08,4.3590820236775215e-09,1.9001596089148517e-16,0.969725393061966,0.03288200310757317
14.006,22.002406886996567,-0.09163099566483217,-0.0010316539135752259,-0.10505375447953996,8.550721671298447,2.661064234116163,3.7482201898875406e-08,3.7482201898875406e-09,1.404915459188059e-16,0.969725393061966,0.03288200310757317
14.008000000000001,22.005548741471365,-0.09161896894410147,-0.0013194195946022145,-0.10506875572964414,8.55194267967647,2.661352641409228,3.220753800655446e-08,3.220753800655446e-09,1.03732550444365e-16,0.969725393061966,0.03288200310757317
14.01,22.00869059594616,-0.09160603858449892,-0.0016071198882299839,-0.1050837569797483,8.553163688054493,2.6616410225643987,2.765619187401563e-08,2.7656191874015628e-09,7.64864948972368e-17,0.969725393061966,0.03288200310757317
14.012,22.01183245042096,-0.09159220487817644,-0.0018947519571281349,-0.10509875822985248,8.554384696432516,2.661929377581685,2.3731747025389157e-08,2.3731747025389157e-09,5.631958168770671e-17,0.969725393061966,0.03288200310757317
14.014000000000001,22.014974304895755,-0.09157746812619406,-0.002182312965154315,-0.10511375947995666,8.555605704810539,2.662217706461093,2.0350243259185886e-08,2.0350243259185886e-09,4.141324007080406e-17,0.969725393061966,0.03288200310757317
14.016,22.018116159370553,-0.09156182863851524,-0.0024698000773867414,-0.10512876073006085,8.556826713188562,2.6625060092026325,1.7438622872972273e-08,1.7438622872972273e-09,3.0410556770575175e-17,0.969725393061966,0.03288200310757317
14.018,22.021258013845348,-0.09154528673400229,-0.0027572104601482424,-0.10514376198016501,8.558047721566584,2.6627942858063114,1.4933363159381007e-08,1.4933363159381007e-09,2.230053352499579e-17,0.969725393061966,0.03288200310757317
14.02,22.024399868320145,-0.09152784274041156,-0.0030445412810371176,-0.10515876323026918,8.559268729944607,2.663082536272139,1.277927385225239e-08,1.277927385225239e-09,1.6330984019086165e-17,0.969725393061966,0.03288200310757317
14.022,22.02754172279494,-0.09150949699438854,-0.0033317897089524466,-0.10517376448037337,8.56048973832263,2.6633707606001225,1.0928440512720185e-08,1.0928440512720185e-09,1.1943081204006381e-17,0.969725393061966,0.03288200310757317
14.024000000000001,22.030683577269734,-0.09149024984146299,-0.003618952914124265,-0.10518876573047753,8.561710746700653,2.663658958790271,9.339296921658587e-09,9.339296921658587e-10,8.722246699090155e-18,0.969725393061966,0.03288200310757317
14.026,22.033825431744532,-0.09147010163604383,-0.0039060280681404596,-0.1052037669805817,8.562931755078676,2.6639471308425935,7.975811409710779e-09,7.975811409710778e-10,6.361356764327264e-18,0.969725393061966,0.03288200310757317
14.028,22.036967286219326,-0.09144905274141406,-0.004193012343973656,-0.10521876823068589,8.564152763456699,2.6642352767570974,6.806773728385267e-09,6.806773728385267e-10,4.633216858943586e-18,0.969725393061966,0.03288200310757317
14.030000000000001,22.040109140694124,-0.09142710352972559,-0.004479902916011331,-0.10523376948079007,8.565373771834722,2.664523396533792,5.80517056407375e-09,5.80517056407375e-10,3.370000527798834e-18,0.969725393061966,0.03288200310757317
14.032,22.04325099516892,-0.09140425438199384,-0.004766696960081037,-0.10524877073089423,8.566594780212744,2.664811490172685,4.9476391379398e-09,4.9476391379398e-10,2.447913303927369e-18,0.969725393061966,0.03288200310757317
14.034,22.046392849643716,-0.09138050568809244,-0.0050533916534807955,-0.10526377198099841,8.567815788590767,2.6650995576737855,4.213989533607402e-09,4.2139895336074016e-10,1.7757707789352726e-18,0.969725393061966,0.03288200310757317
14.036,22.04953470411851,-0.09135585784674777,-0.005339984175004286,-0.10527877323110259,8.56903679696879,2.665387599037101,3.586787465684778e-09,3.586787465684778e-10,1.2865044323993434e-18,0.969725393061966,0.03288200310757317
14.038,22.052676558593305,-0.09133031126553331,-0.00562647170497088,-0.10529377448120675,8.570257805346813,2.665675614262641,3.0509901578312e-09,3.0509901578312003e-10,9.308540943182851e-19,0.969725393061966,0.03288200310757317
14.040000000000001,22.055818413068103,-0.0913038663608641,-0.005912851425252407,-0.10530877573131094,8.571478813724836,2.6659636033504137,2.5936288511871737e-09,2.593628851187174e-10,6.726910617710499e-19,0.969725393061966,0.03288200310757317
14.042,22.058960267542897,-0.09127652355799094,-0.006199120519299902,-0.10532377698141511,8.572699822102859,2.666251566300427,2.2035322228852962e-09,2.2035322228852962e-10,4.855554257293815e-19,0.969725393061966,0.03288200310757317
14.044,22.062102122017695,-0.09124828329099456,-0.006485276172173577,-0.1053387782315193,8.573920830480882,2.66653950311269,1.871085669762839e-09,1.871085669762839e-10,3.500961583591852e-19,0.969725393061966,0.03288200310757317
14.046000000000001,22.065243976492493,-0.09121914600277979,-0.00677131557056823,-0.10535377948162346,8.575141838858904,2.666827413787211,1.5880220129754951e-09,1.5880220129754951e-10,2.521813913694744e-19,0.969725393061966,0.03288200310757317
14.048,22.06838583096729,-0.09118911214506954,-0.007057235902842201,-0.10536878073172763,8.576362847236927,2.6671152983239987,1.3472397128145697e-09,1.3472397128145697e-10,1.815054843784684e-19,0.969725393061966,0.03288200310757317
14.05,22.071527685442085,-0.09115818217839872,-0.007343034359044367,-0.10538378198183182,8.57758385561495,2.6674031567230605,1.1426451568855535e-09,1.1426451568855534e-10,1.3056379545540111e-19,0.969725393061966,0.03288200310757317
14.052,22.074669539916883,-0.09112635657210791,-0.007628708130943036,-0.105398783231936,8.578804863992973,2.667690988984406,9.690160053107632e-10,9.690160053107632e-11,9.389920185484291e-20,0.969725393061966,0.03288200310757317
14.054,22.077811394391677,-0.09109363580433749,-0.007914254412051286,-0.10541378448204017,8.580025872370996,2.6679787951080427,8.218829496772497e-10,8.218829496772497e-11,6.754915829701766e-20,0.969725393061966,0.03288200310757317
14.056000000000001,22.08095324886647,-0.09106002036202089,-0.008199670397656803,-0.10542878573214434,8.581246880749019,2.66826657509398,6.974275733172673e-10,6.974275733172673e-11,4.8640522002321224e-20,0.969725393061966,0.03288200310757317
14.058,22.08409510334127,-0.09102551074087839,-0.008484953284848449,-0.10544378698224852,8.582467889127042,2.668554328942226,5.923942940041366e-10,5.923942940041366e-11,3.5093099956865947e-20,0.969725393061966,0.03288200310757317
14.06,22.087236957816064,-0.09099010744541064,-0.008770100272542823,-0.10545878823235269,8.583688897505064,2.6688420566527893,5.040146305576861e-10,5.0401463055768614e-11,2.5403074781620084e-20,0.969725393061966,0.03288200310757317
14.062000000000001,22.09037881229086,-0.09095381098889183,-0.009055108561514024,-0.10547378948245686,8.584909905883087,2.669129758225678,4.299422661223569e-10,4.299422661223569e-11,1.8485035219842756e-20,0.969725393061966,0.03288200310757317
14.064,22.093520666765656,-0.09091662189336334,-0.009339975354418547,-0.10548879073256105,8.58613091426111,2.669417433660901,3.681975865412252e-10,3.6819758654122516e-11,1.35569462734783e-20,0.969725393061966,0.03288200310757317
14.066,22.09666252124045,-0.0908785406896267,-0.009624697855824997,-0.10550379198266523,8.587351922639133,2.6697050829584663,3.171205555053448e-10,3.171205555053448e-11,1.0056544672401847e-20,0.969725393061966,0.03288200310757317
14.068,22.099804375715248,-0.0908395679172368,-0.009909273272240548,-0.10551879323276939,8.588572931017156,2.669992706118383,2.753309519512032e-10,2.7533095195120323e-11,7.580713310235578e-21,0.969725393061966,0.03288200310757317
14.07,22.102946230190042,-0.09079970412449506,-0.010193698812137384,-0.10553379448287357,8.589793939395179,2.6702803031406592,2.416951421559498e-10,2.416951421559498e-11,5.841654174178479e-21,0.969725393061966,0.03288200310757317
14.072000000000001,22.10608808466484,-0.09075894986844221,-0.010477971685982348,-0.10554879573297775,8.591014947773202,2.670567874025304,2.1529869159533698e-10,2.15298691595337e-11,4.635352660266403e-21,0.969725393061966,0.03288200310757317
14.074,22.109229939139635,-0.09071730571485143,-0.010762089106261703,-0.10556379698308191,8.592235956151224,2.6708554187723244,1.954242421290726e-10,1.954242421290726e-11,3.8190634411722396e-21,0.969725393061966,0.03288200310757317
14.076,22.11237179361443,-0.09067477223822087,-0.011046048287510732,-0.1055787982331861,8.593456964529247,2.67114293738173,1.8153419054612242e-10,1.815341905461224e-11,3.295466233723588e-21,0.969725393061966,0.03288200310757317
