time_s,potential_energy_J,kinetic_energy_J,generator_energy_J
0.198,3.9993191847025036e+20,6.909369619103866e+20,5.798120367428039e+19
0.199,3.2927066818660853e+20,6.864505650476578e+20,5.83587514850566e+19
0.2,4.0164123678616165e+20,5.717472097221873e+20,5.86732124504038e+19
0.201,5.2183342058583e+20,4.808639662740109e+20,5.893768763185451e+19
0.202,5.6311921325842543e+20,4.867626271968959e+20,5.92054070768128e+19
0.203,5.33022951441935e+20,5.07923571185002e+20,5.948476504096455e+19
0.20400000000000001,5.440008422570301e+20,4.449441708627292e+20,5.972948433493905e+19
0.20500000000000002,6.321173134810807e+20,3.6782538751738656e+20,5.993178829807362e+19
0.20600000000000002,6.594204612750891e+20,4.1469553788443433e+20,6.015987084391006e+19
0.20700000000000002,5.39009179326951e+20,5.802537287693503e+20,6.047901039473321e+19
0.20800000000000002,3.711880482414818e+20,7.052972043330611e+20,6.086692385711639e+19
0.209,3.1968969971185805e+20,6.751244157296817e+20,6.123824228576771e+19
0.21,4.1638170411647284e+20,5.419163719407436e+20,6.153629629033512e+19
0.211,5.520357917611852e+20,4.3106399591990054e+20,6.177338148809107e+19
0.212,6.228565298627207e+20,4.025683579352654e+20,6.199479408495546e+19
0.213,6.158284927586271e+20,4.335194680655464e+20,6.223322979239151e+19
0.214,5.7298958489372184e+20,4.778295280758554e+20,6.249603603283323e+19
0.215,5.334251819237357e+20,5.0730797201351036e+20,6.2775055417440666e+19
0.216,5.115260512824322e+20,5.2700091982834926e+20,6.306490592334626e+19
0.217,4.8610221351806586e+20,5.645502832381298e+20,6.337540857912723e+19
0.218,4.34475797117412e+20,6.183441956417176e+20,6.3715497886730174e+19
0.219,3.90986281805728e+20,6.316482968715031e+20,6.40629044500095e+19
0.22,4.243655946256185e+20,5.4589346702761584e+20,6.4363145856874684e+19
0.221,5.517252222209422e+20,4.0296195304014827e+20,6.458477493104677e+19
0.222,6.751959947773905e+20,3.316473799894256e+20,6.476718099004095e+19
0.223,6.743077831583633e+20,4.0440454245330505e+20,6.498960348839027e+19
0.224,5.495661274651046e+20,5.4765704369408646e+20,6.529081486242202e+19
0.225,4.236067628446569e+20,6.287601098837781e+20,6.5636632922858095e+19
0.226,3.974855501406038e+20,6.029340760949015e+20,6.596824666471029e+19
0.227,4.549700779239409e+20,5.3822273530015475e+20,6.626426916912538e+19
0.228,5.055413787568878e+20,5.129253796810763e+20,6.654637812794997e+19
0.229,5.0665981496282566e+20,5.2412293655787956e+20,6.6834645743056806e+19
0.23,4.9980576720345216e+20,5.116451876320005e+20,6.711605059625441e+19
0.231,5.3832207294268146e+20,4.5141367258404795e+20,6.7364328116175634e+19
0.232,6.051358512887105e+20,3.989760147470705e+20,6.7583764924286525e+19
0.233,6.228628294480666e+20,4.282255699582505e+20,6.7819288987763565e+19
0.234,5.468020136408015e+20,5.372861721968557e+20,6.811479638247183e+19
0.23500000000000001,4.283184453814287e+20,6.38035783191415e+20,6.846571606322711e+19
0.23600000000000002,3.679753599609195e+20,6.453211628548468e+20,6.8820642702797275e+19
0.23700000000000002,4.130062888978392e+20,5.60450511100326e+20,6.9128890483902456e+19
0.23800000000000002,5.169437582585613e+20,4.59683092704828e+20,6.938171618489011e+19
0.23900000000000002,5.946791929844894e+20,4.1684931016749076e+20,6.961098330548223e+19
0.24,5.99841587754065e+20,4.4291234436888114e+20,6.985458509488511e+19
0.241,5.554755027800389e+20,4.896773598385627e+20,7.012390764279633e+19
0.242,5.1999535115956126e+20,5.0650685396239424e+20,7.040248641247565e+19
0.243,5.196063578137976e+20,5.01415645696015e+20,7.0678265017608454e+19
0.244,5.141126779842195e+20,5.311326655720933e+20,7.097038798367311e+19
0.245,4.550178897363447e+20,6.071665807861446e+20,7.130432960310549e+19
0.246,3.7978981603790494e+20,6.397943107618825e+20,7.1656216474024526e+19
0.247,4.0868638469755306e+20,5.437098027712707e+20,7.195525686554872e+19
0.248,5.542321867647245e+20,3.8577906706850415e+20,7.21674353524364e+19
0.249,6.774450661211965e+20,3.3055978076815485e+20,7.2349243231858885e+19
0.25,6.45995078912605e+20,4.369118407092189e+20,7.258954474424896e+19
0.251,4.999793500759026e+20,5.766683000374839e+20,7.290671230926958e+19
0.252,4.059461531782259e+20,6.051615247299982e+20,7.323955114787108e+19
0.253,4.3738253374050225e+20,5.3953975702792726e+20,7.3536298014236434e+19
0.254,5.029301209565229e+20,5.020823026758931e+20,7.381244328070817e+19
0.255,5.003819041394964e+20,5.37077851978329e+20,7.410783609929625e+19
0.256,4.545373735680693e+20,5.674898332621281e+20,7.441995550759041e+19
0.257,4.596675541562816e+20,5.193244287098184e+20,7.470558394338081e+19
0.258,5.434764381669453e+20,4.186033855604641e+20,7.493581580543907e+19
0.259,6.363014271498657e+20,3.577903572993022e+20,7.513260050195368e+19
0.26,6.466185666354403e+20,4.064797528077757e+20,7.535616436599795e+19
0.261,5.425282561900514e+20,5.490937770573972e+20,7.565816594337953e+19
0.262,3.894532879055937e+20,6.779819578221522e+20,7.603105602018171e+19
0.263,3.171903421543085e+20,6.72691114859759e+20,7.640103613335459e+19
0.264,3.99341492045372e+20,5.3251756711207816e+20,7.669392079526624e+19
